Year,2012
Month,Avg_Wind(StdDev,MAD),Avg_Temp(StdDev,MAD),Total_Solar_Radiation
January,7.57073(3.26291,2.6335),26.2336(5.77853,4.74668),1.35502e+006
February,6.22539(3.0273,2.34254),23.8951(4.77486,3.72203),1.25945e+006
March,5.96998(3.06883,2.40956),22.9031(5.66157,4.52178),1.30583e+006
April,4.65872(3.00089,2.399),19.4764(4.60764,3.70418),827560
May,4.22716(2.93182,2.22851),16.0703(4.86886,3.98586),685497
June,5.53449(3.96907,3.09432),14.4065(4.03631,3.15579),445440
July,3.53484(2.77832,2.34486),11.91(5.05898,4.24549),668427
August,4.13735(3.28003,2.6693),13.8331(4.14804,3.3953),783401
September,6.10326(3.83198,3.01823),15.1346(4.7893,3.76283),989236
October,5.88505(3.43728,2.71078),18.1628(4.71809,3.671),1.2629e+006
November,5.96851(3.81933,2.86421),18.6934(4.59654,3.68972),1.38918e+006
December,5.52207(2.85742,2.27296),23.3605(5.97785,4.79025),1.51847e+006
